Trilogies,AlphaScore,BravoScore,CharlieScore,AlphaYear,BravoYear,CharlieYear
BTTF,8.5,7.8,7.4,1985,1989,1990
Godfather,9.2,9.0,7.6,1972,1974,1990
GotG,8.0,7.6,7.9,2014,2017,2023
Indy Jones 1-3,8.4,7.5,8.2,1981,1984,1989
Star Wars 4-6,8.6,8.7,8.3,1977,1980,1983
Star Wars 1-3,6.5,6.6,7.6,1999,2002,2005
Star Wars 7-9,7.8,6.9,6.4,2015,2017,2019
Dark Knight,8.2,9.0,8.4,2005,2008,2012
Matrix,8.7,7.2,5.7,1999,2003,2003
Spider-Toby,7.4,7.5,6.3,2002,2004,2007
LotR,8.9,8.8,9.0,2001,2002,2003
Hobbit,7.8,7.8,7.4,2012,2013,2014
Deadpool,8.0,7.6,8.1,2017,2018,2024
Evil Dead,7.4,7.7,7.4,1981,1987,1992
Jurassic Park,8.2,6.6,5.9,1993,1997,2001
Jurassic World,6.9,6.1,5.6,2015,2018,2022
Bill & Ted,6.9,6.3,5.9,1989,1991,2020
